old url,redirectTo
/product/9yz268-080-compellent-2tb-72k-6gbps-sas-hard-disk-drive,/product/9YZ268-080
/product/samsung-spinpoint-st750lm022-750gb-25-sata-laptop-hard-drive,/product/ST750LM022
/product/ibm-2076-af6-storwize-v7000f-control,/product/2076-AF6
/product/03u017-dell-powervault-132t-remote-management-interface-module,/product/03U017
/product/brocade-fc16-48-emc-16gb-48-port-blade-with-8gb-sw-sfps,/product/FC16-48-EMC
/product/brocade-250-098-900-brocade-32-port-director-blade-w-32-4gb-sfps,/product/250-098-900
/product/netapp-br-300-8-netapp-brocade-300-switch-with-24-ports-8-active,/product/BR-300-8
/product/dell-202v7-4tb-sas-72k-rpm-6gbps-35-inch-hard-drive--no-tray,/product/202V7-4TB
/product/hitachi-0f10452-2tb-7200-rpm-30gbs-sata-hard-disk-drive,/product/0F10452
/product/Seagate ST18000NM000J Seagate EXOS X18 18TB SATA 3.5IN 7200RPM HDD,/product/ST18000NM000J
/product/seagate-st4000nm0035-supermicro-4tb-6gbps-72k-sata-35-hard-drive,/product/ST4000NM0035
/product/seagate-sv355-st31000525sv-1tb--1tb-sata-hard-drive,/product/SV355-ST31000525SV
/product/cisco-sm-es2-24-23-port-fe-1-port-ge-etherswitch-service-module,/product/SM-ES2-24
/product/cisco-sfp-oc3-ir1-oc3stm1-sfp-single-mode-fiber,/product/SFP-OC3
/product/intel-ssdpedmw012t4x1-750-series-12tb-nvme-pcie-30,/product/SSDPEDMW012T4X1
/product/intel-e5-2609---intel-e5-2609-240ghz-4-core-10m-80w,/product/E5-2609
/product/intel-xeon-silver-4114--sr3gk-22ghz--30ghz-turbo-10-core-processor-cpu-pvgwv,/product/SILVER-4114-SR3GK
/product/external-mini-sas-hd-sff-8644-1m-cable,/product/SFF-8644
/product/crucial-bx500-ct120bx500ssd1-120gb-mlc-sata-solid-state-drive,/product/BX500-CT120BX500SSD1
/product/new-dell-lc-cb-10ge-4p-force-10-4-port-10ge-lan-card,/product/LC-CB-10GE-4P
/product/western-digital-wd40efpx-4tb-35-lff-6gbps-wd-red-nas-drive,/product/WD40EFPX
/product/ibm-7915-ac1-x3650-m4-configure-to-order-server-0x0-with-v1-system-board,/product/7915-AC1
/product/hitachi-0a58903-7k320-160gb-72k-25-sata-hard-drive,/product/0A58903
/product/intel-i5-7500-intel-core-i5-7500-34ghz-proc,/product/I5-7500
/product/ibm-74y4570-power8-server-system-backplane,/product/74Y4570
/product/intel-silver4216---intel-silver-4216-210ghz-16-core-22m-100w,/product/SILVER4216
/product/dell-ddock-expansion-station-for-latitude-d-series-laptops,/product/D-DOCK-LATTITUDE
/product/dell-t620-lff-poweredge-t620-base-tower-server-0x0-lff,/product/T620-LFF
/product/sandisk-x300-sd7un3q-256g-m2-2280-256gb-ssd,/product/SD7UN3Q-256G
/product/cisco-asa5510-bun-k9---cisco-asa-5510-appliance-with-sw-5fe3desaes,/product/ASA5510-BUN-K9
/product/ibm-69y0650-sas-backplane-8-drive,/product/69Y0650
/product/dell-recertified-poweredge-r630-cto-0x0-10x25-inch-drive-bays-details-below,/product/R630
/product/intel-sr3gh---intel-silver-4110-210ghz-8-core-11m-85w,/product/SR3GH
/product/ibm-esey-283gb-15k-sas-sff-2-4k-hdd-hard-drive,/product/SFF-2
/product/samsung-mz-v6e1t0bw-1tb-pcie-nvme-solid-state-drive,/product/MZ-V6E1T0BW
/product/crucial-ct240bx200ssd1-240gb-sata-solid-state-drive,/product/CT240BX200SSD1
/product/cisco-air-ap1042n-a-k9-standalone---wireless-access-point,/product/AIR-AP1042N-A-K9
/product/samsung-256gb-18-mlc-ssd-sata-hard-drive-mzupa256hmdr,/product/MZNUPA256HMDR
